               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10954,            0.029707,            0.017528,             0.26837,             0.30738,             0.25887,            0.081624,            0.085842,            0.022898,           0.0057599,            0.070199,           0.0033113,           0.0033113
                   1,            0.081515,            0.023538,            0.006573,             0.33965,             0.56397,             0.29855,             0.10793,            0.065529,            0.018798,           0.0050857,            0.040067,            0.006513,            0.006513
                   2,            0.073735,            0.022135,           0.0055182,             0.30014,             0.62738,             0.34286,              0.1675,            0.067154,            0.018274,           0.0038321,           0.0098035,           0.0095828,           0.0095828
                   3,             0.06692,            0.021519,           0.0042573,             0.63638,             0.68373,             0.59614,             0.26453,            0.053489,            0.017102,           0.0028721,            0.009406,            0.009406,            0.009406
                   4,            0.061289,            0.020286,             0.00339,             0.70685,             0.68008,             0.64187,             0.30968,             0.05195,            0.017122,           0.0027609,            0.009406,            0.009406,            0.009406
                   5,            0.056941,            0.019416,           0.0031883,             0.76054,             0.69357,             0.68468,             0.32097,             0.05179,            0.016126,           0.0022202,            0.009208,            0.009208,            0.009208
                   6,            0.054859,            0.019049,           0.0028275,              0.8165,             0.71402,              0.7121,             0.41132,            0.042624,            0.016067,           0.0024512,             0.00901,             0.00901,             0.00901
                   7,            0.052692,            0.018369,           0.0028896,             0.79084,              0.6439,             0.66099,             0.39818,            0.042948,            0.017643,           0.0024586,            0.008812,            0.008812,            0.008812
                   8,            0.052258,            0.018914,           0.0027077,             0.81981,             0.74508,             0.74501,              0.4494,            0.039394,            0.015463,           0.0019365,            0.008614,            0.008614,            0.008614
                   9,            0.050251,            0.018423,           0.0025223,             0.82483,             0.75576,             0.73818,             0.43264,            0.040691,            0.015111,           0.0017553,            0.008416,            0.008416,            0.008416
                  10,            0.048848,            0.017831,           0.0023669,             0.81633,             0.73668,             0.74121,             0.43903,            0.038636,            0.015013,           0.0018447,            0.008218,            0.008218,            0.008218
                  11,            0.047838,            0.017986,           0.0021996,             0.82468,             0.73653,              0.7352,             0.45928,            0.037592,            0.015202,           0.0016786,             0.00802,             0.00802,             0.00802
                  12,            0.048048,            0.018337,           0.0021489,             0.84142,             0.74095,             0.73996,             0.41726,            0.040004,            0.014638,           0.0016701,            0.007822,            0.007822,            0.007822
                  13,            0.045745,            0.017478,           0.0018767,             0.83172,             0.74764,             0.74279,             0.42463,            0.038035,            0.014612,           0.0015603,            0.007624,            0.007624,            0.007624
                  14,            0.046931,            0.017801,           0.0018432,             0.84504,             0.75651,             0.75183,             0.47648,            0.038241,            0.014191,           0.0017452,            0.007426,            0.007426,            0.007426
                  15,            0.045081,            0.017356,           0.0019858,             0.83829,             0.75727,             0.75225,             0.48458,            0.036097,            0.014785,           0.0017772,            0.007228,            0.007228,            0.007228
                  16,            0.044973,            0.017062,           0.0018712,             0.82844,             0.74667,             0.74303,             0.48037,            0.036072,            0.014884,           0.0016215,             0.00703,             0.00703,             0.00703
                  17,            0.043733,             0.01711,           0.0017279,             0.85842,             0.75943,             0.76853,             0.48296,            0.036015,            0.014186,            0.001549,            0.006832,            0.006832,            0.006832
                  18,            0.043844,            0.017077,           0.0017951,             0.85198,             0.75259,             0.76106,             0.46116,            0.038238,            0.014501,           0.0015256,            0.006634,            0.006634,            0.006634
                  19,            0.043534,            0.017172,             0.00182,             0.84787,             0.76165,             0.75463,             0.49174,            0.035126,            0.014409,           0.0016961,            0.006436,            0.006436,            0.006436
                  20,            0.041317,            0.016159,           0.0015312,             0.86154,             0.75612,             0.76169,             0.49285,            0.035939,            0.013986,           0.0015483,            0.006238,            0.006238,            0.006238
                  21,            0.042952,            0.017156,           0.0017427,             0.85972,             0.75161,             0.75972,             0.50729,            0.034359,            0.014128,           0.0017047,             0.00604,             0.00604,             0.00604
                  22,            0.042221,            0.017003,           0.0015206,              0.8659,             0.75818,             0.76648,             0.50244,            0.035989,            0.013862,           0.0014513,            0.005842,            0.005842,            0.005842
                  23,            0.041274,            0.017253,           0.0013311,             0.86439,             0.76384,             0.77076,             0.51083,            0.034265,             0.01375,           0.0017385,            0.005644,            0.005644,            0.005644
                  24,            0.041727,            0.016738,           0.0014545,             0.86336,             0.76638,              0.7658,             0.51562,            0.033611,            0.013881,            0.001496,            0.005446,            0.005446,            0.005446
                  25,            0.040892,            0.016171,           0.0014266,             0.85058,              0.7569,             0.75892,              0.5028,            0.034118,            0.014194,           0.0015992,            0.005248,            0.005248,            0.005248
                  26,            0.041215,            0.016698,           0.0011916,              0.8612,             0.76127,             0.76783,             0.51406,            0.033954,            0.013852,           0.0019593,             0.00505,             0.00505,             0.00505
                  27,            0.039632,            0.016057,            0.001312,             0.86475,             0.75847,             0.76403,             0.50771,            0.033875,            0.013675,           0.0015799,            0.004852,            0.004852,            0.004852
