               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09866,            0.030051,            0.017417,             0.34453,             0.54876,             0.30679,              0.1181,            0.069621,            0.021439,           0.0062459,            0.070133,           0.0033186,           0.0033186
                   1,            0.071093,            0.022328,           0.0061094,             0.55142,             0.65353,             0.55846,             0.22852,            0.061392,             0.01853,           0.0047186,            0.040001,           0.0065202,           0.0065202
                   2,            0.066663,            0.020545,           0.0047435,             0.63941,             0.62144,              0.5868,             0.29452,            0.057685,            0.018225,           0.0035747,           0.0097373,           0.0095898,           0.0095898
                   3,             0.06053,            0.019488,           0.0036971,             0.77518,             0.69253,             0.67262,             0.36518,             0.04931,            0.017152,           0.0028967,            0.009406,            0.009406,            0.009406
                   4,            0.055811,            0.018891,            0.003305,             0.78849,              0.7005,             0.66891,             0.37396,            0.045974,            0.017453,           0.0024891,            0.009406,            0.009406,            0.009406
                   5,            0.052883,            0.018488,           0.0028192,             0.77939,             0.71903,             0.68979,             0.39446,            0.042565,            0.016723,           0.0025571,            0.009208,            0.009208,            0.009208
                   6,            0.050168,            0.017866,           0.0024586,             0.79664,              0.7168,             0.70535,             0.42162,            0.044552,            0.016246,           0.0025927,             0.00901,             0.00901,             0.00901
                   7,            0.049444,            0.017982,           0.0023073,             0.81585,              0.7185,             0.71894,              0.4306,            0.041051,            0.015568,           0.0022255,            0.008812,            0.008812,            0.008812
                   8,            0.047882,            0.017942,           0.0022054,             0.82612,             0.71687,             0.71238,             0.43043,            0.040884,             0.01567,           0.0028382,            0.008614,            0.008614,            0.008614
                   9,             0.04732,            0.017618,            0.002319,             0.82646,              0.7351,              0.7174,             0.43189,            0.040036,            0.015547,           0.0021696,            0.008416,            0.008416,            0.008416
                  10,            0.045824,            0.017184,           0.0021081,             0.83056,             0.73544,             0.72548,             0.46473,            0.037739,            0.015527,           0.0019935,            0.008218,            0.008218,            0.008218
                  11,            0.045163,            0.017575,           0.0019188,             0.86178,              0.7232,             0.72616,              0.4723,            0.036297,             0.01498,           0.0019981,             0.00802,             0.00802,             0.00802
                  12,            0.044872,            0.017046,           0.0018203,             0.84255,              0.7084,             0.71952,             0.45688,            0.038484,            0.015518,           0.0022459,            0.007822,            0.007822,            0.007822
                  13,            0.042926,            0.016687,           0.0016348,             0.85399,             0.72723,             0.72755,             0.47491,            0.036914,            0.015181,           0.0020575,            0.007624,            0.007624,            0.007624
                  14,            0.043011,            0.016842,           0.0017352,              0.8557,             0.73416,             0.73606,             0.49636,            0.036752,            0.014534,            0.001879,            0.007426,            0.007426,            0.007426
                  15,            0.042808,            0.016502,           0.0016706,             0.85718,             0.71819,             0.71731,             0.47908,            0.037107,            0.015622,           0.0018572,            0.007228,            0.007228,            0.007228
                  16,             0.04314,             0.01687,            0.001656,             0.84306,             0.73221,             0.73207,             0.48977,            0.035804,            0.014839,           0.0018627,             0.00703,             0.00703,             0.00703
                  17,            0.041394,            0.016191,           0.0015647,             0.85047,             0.73885,             0.74187,             0.49648,            0.035111,             0.01461,           0.0016453,            0.006832,            0.006832,            0.006832
                  18,            0.041706,            0.016346,           0.0015746,             0.85336,             0.73189,             0.73279,             0.48662,            0.034938,            0.014425,           0.0021165,            0.006634,            0.006634,            0.006634
                  19,            0.041284,            0.016481,           0.0013602,             0.83618,             0.71994,             0.71608,             0.48545,            0.035414,            0.014962,           0.0019381,            0.006436,            0.006436,            0.006436
                  20,            0.039737,            0.015792,           0.0015605,             0.86453,             0.73692,             0.74019,             0.50036,            0.035232,            0.014476,           0.0019173,            0.006238,            0.006238,            0.006238
                  21,             0.04075,            0.015897,           0.0014676,             0.85835,             0.73122,             0.73901,             0.49985,            0.035477,            0.014468,           0.0020075,             0.00604,             0.00604,             0.00604
                  22,            0.039307,            0.015855,           0.0012141,             0.84897,              0.7428,             0.74446,             0.51459,            0.033834,            0.014076,            0.001818,            0.005842,            0.005842,            0.005842
                  23,            0.040194,            0.016141,           0.0013464,             0.85728,             0.73779,              0.7367,             0.50477,            0.034169,            0.014246,           0.0020914,            0.005644,            0.005644,            0.005644
                  24,            0.038523,            0.015534,           0.0013411,             0.87133,             0.74197,             0.74381,             0.51814,            0.034034,            0.014131,           0.0020772,            0.005446,            0.005446,            0.005446
                  25,            0.038559,            0.015749,           0.0011268,             0.87345,             0.74066,             0.74433,             0.51351,            0.033655,            0.014182,           0.0022035,            0.005248,            0.005248,            0.005248
                  26,            0.037855,            0.015766,           0.0010792,             0.86677,             0.74099,             0.74552,             0.51962,            0.033428,            0.013979,           0.0018249,             0.00505,             0.00505,             0.00505
                  27,            0.037736,            0.015583,            0.001107,             0.87102,             0.74759,             0.74933,              0.5297,            0.032988,            0.013797,           0.0018881,            0.004852,            0.004852,            0.004852
                  28,              0.0382,             0.01594,           0.0011037,             0.88015,             0.73607,             0.74811,             0.51855,            0.033577,            0.013922,           0.0017953,            0.004654,            0.004654,            0.004654
                  29,            0.037434,            0.015431,           0.0011521,             0.88202,             0.73692,             0.74293,             0.52123,            0.033496,            0.013879,           0.0020627,            0.004456,            0.004456,            0.004456
                  30,            0.037689,            0.015272,           0.0011086,             0.86944,             0.74341,             0.74544,             0.52856,            0.033019,            0.014365,           0.0018996,            0.004258,            0.004258,            0.004258
                  31,            0.037274,            0.015443,           0.0011774,             0.88288,             0.73832,             0.74461,             0.53298,            0.032715,            0.014289,           0.0020859,             0.00406,             0.00406,             0.00406
                  32,            0.037027,            0.015208,           0.0010056,             0.88024,             0.73961,             0.74397,             0.52741,            0.033104,            0.014125,           0.0022201,            0.003862,            0.003862,            0.003862
                  33,            0.036742,            0.015419,           0.0010839,             0.87521,             0.74157,             0.75284,             0.52824,            0.033452,            0.013714,           0.0023601,            0.003664,            0.003664,            0.003664
                  34,            0.036526,            0.015315,          0.00090531,              0.8872,             0.73638,             0.74621,             0.53084,            0.033088,            0.013915,           0.0030046,            0.003466,            0.003466,            0.003466
                  35,            0.035931,            0.015007,           0.0009196,             0.87459,              0.7362,             0.74376,             0.53521,            0.032757,             0.01415,           0.0024371,            0.003268,            0.003268,            0.003268
                  36,            0.034768,            0.014669,          0.00089373,             0.89019,             0.73287,             0.75574,             0.54426,            0.032049,             0.01357,           0.0021634,             0.00307,             0.00307,             0.00307
                  37,            0.035512,            0.015148,          0.00076823,             0.88081,             0.74647,             0.75709,             0.54069,            0.032304,            0.013941,           0.0023518,            0.002872,            0.002872,            0.002872
                  38,            0.034616,             0.01474,          0.00085384,             0.89374,              0.7346,             0.74921,             0.53783,            0.032379,             0.01381,           0.0023886,            0.002674,            0.002674,            0.002674
                  39,             0.03499,            0.014915,          0.00083272,             0.87546,             0.74702,             0.74454,             0.54263,            0.032293,            0.013877,           0.0026506,            0.002476,            0.002476,            0.002476
                  40,            0.034242,            0.014743,          0.00066299,             0.88649,             0.74224,             0.75197,             0.54818,            0.031743,            0.013803,            0.002351,            0.002278,            0.002278,            0.002278
                  41,            0.034549,            0.015028,           0.0007499,             0.88532,              0.7398,             0.74991,             0.54804,            0.032175,            0.013755,           0.0026971,             0.00208,             0.00208,             0.00208
                  42,            0.034788,            0.014732,          0.00083321,              0.9021,             0.73187,             0.74964,             0.55179,            0.032206,            0.013663,           0.0027711,            0.001882,            0.001882,            0.001882
                  43,            0.033936,            0.014472,            0.000673,             0.88323,             0.74431,             0.75047,             0.54661,            0.032185,            0.013309,           0.0022801,            0.001684,            0.001684,            0.001684
                  44,            0.033084,            0.014578,           0.0005628,             0.88126,             0.74774,             0.75519,             0.55441,            0.031897,            0.013599,           0.0027041,            0.001486,            0.001486,            0.001486
                  45,              0.0334,            0.014549,           0.0007184,             0.87417,             0.74702,             0.75074,             0.55582,             0.03171,             0.01373,           0.0027133,            0.001288,            0.001288,            0.001288
                  46,            0.032917,            0.014319,          0.00055862,             0.90151,             0.72937,             0.74664,             0.54891,            0.032134,            0.013714,           0.0026523,             0.00109,             0.00109,             0.00109
                  47,            0.032364,            0.014541,          0.00055233,             0.88939,             0.74485,             0.75116,             0.55886,            0.031878,            0.013475,           0.0025621,            0.000892,            0.000892,            0.000892
                  48,            0.031807,             0.01406,          0.00047722,             0.88224,             0.74774,             0.75535,             0.56547,            0.031665,            0.013292,           0.0029085,            0.000694,            0.000694,            0.000694
                  49,            0.032256,            0.014306,          0.00041083,             0.89216,             0.74326,             0.75099,             0.56279,            0.031501,            0.013533,           0.0029047,            0.000496,            0.000496,            0.000496
