               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038235,            0.015931,           0.0012304,             0.90387,             0.83997,             0.88727,             0.51856,            0.030513,             0.01679,          0.00032651,             0.00307,             0.00307,             0.00307
                  37,            0.037688,             0.01604,           0.0010023,             0.88976,             0.82156,             0.86751,             0.51248,            0.031453,            0.016677,          0.00043559,            0.002872,            0.002872,            0.002872
                  38,            0.037453,            0.015488,           0.0010947,             0.89226,             0.84335,             0.88381,              0.5241,            0.030301,            0.015626,          0.00031202,            0.002674,            0.002674,            0.002674
                  39,            0.036594,            0.015328,            0.001035,             0.89298,             0.83122,             0.87355,             0.52781,            0.029847,            0.016932,          0.00031486,            0.002476,            0.002476,            0.002476
                  40,            0.037661,            0.015844,           0.0008317,             0.90752,             0.82682,             0.87602,             0.53944,            0.029735,            0.017643,          0.00028806,            0.002278,            0.002278,            0.002278
                  41,            0.036183,             0.01547,          0.00081296,             0.88432,              0.8272,             0.86478,             0.50347,            0.031865,            0.017482,          0.00031166,             0.00208,             0.00208,             0.00208
                  42,            0.036336,            0.015448,          0.00073996,             0.89349,              0.8439,             0.87856,             0.51253,            0.030698,            0.016928,          0.00037638,            0.001882,            0.001882,            0.001882
                  43,            0.036205,            0.015141,          0.00089123,             0.88829,             0.84035,             0.87273,             0.51815,            0.031077,            0.016783,          0.00030487,            0.001684,            0.001684,            0.001684
                  44,             0.03526,            0.015228,          0.00085269,             0.89744,             0.83772,             0.87449,             0.50864,            0.031521,            0.017688,          0.00024134,            0.001486,            0.001486,            0.001486
                  45,            0.036236,            0.015567,          0.00080208,              0.8945,             0.85124,             0.88133,             0.53279,            0.030061,            0.017016,          0.00025045,            0.001288,            0.001288,            0.001288
                  46,            0.036107,            0.015269,          0.00069618,             0.88472,             0.83623,             0.87216,             0.50937,            0.031867,            0.017748,           0.0002671,             0.00109,             0.00109,             0.00109
                  47,             0.03452,            0.014818,          0.00071609,             0.88277,             0.84883,             0.86901,             0.51437,            0.030576,            0.017186,          0.00021875,            0.000892,            0.000892,            0.000892
                  48,            0.035192,            0.015349,          0.00069755,             0.89217,             0.82682,             0.86581,               0.508,            0.031843,            0.017603,          0.00022759,            0.000694,            0.000694,            0.000694
                  49,            0.034834,            0.015248,          0.00058221,             0.88328,              0.8441,             0.87042,             0.51924,            0.031601,            0.017783,          0.00023997,            0.000496,            0.000496,            0.000496
