               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10788,            0.029447,            0.017259,             0.12918,             0.49741,             0.11055,            0.026689,            0.079172,            0.021462,            0.005375,             0.07017,           0.0033144,           0.0033144
                   1,            0.077433,            0.022761,           0.0064128,             0.50182,             0.55847,             0.44909,             0.21517,            0.065228,            0.017884,            0.004505,            0.040039,           0.0065161,           0.0065161
                   2,            0.070907,            0.021492,           0.0051129,             0.54089,              0.6833,             0.60473,             0.30925,            0.059776,            0.017458,           0.0033379,           0.0097752,           0.0095858,           0.0095858
                   3,            0.063803,            0.020544,            0.004073,             0.67023,             0.65628,             0.60303,             0.27401,            0.053502,            0.016902,           0.0030265,            0.009406,            0.009406,            0.009406
                   4,            0.058582,            0.019658,           0.0034743,             0.77761,             0.68691,              0.6829,             0.36349,            0.047681,            0.016885,           0.0025121,            0.009406,            0.009406,            0.009406
                   5,            0.056379,            0.019594,           0.0030418,             0.79374,             0.67951,             0.67872,              0.3965,            0.044782,            0.016499,           0.0026065,            0.009208,            0.009208,            0.009208
                   6,            0.053215,            0.018441,            0.002773,             0.81405,             0.70265,             0.70476,              0.3872,            0.046107,            0.016167,           0.0024319,             0.00901,             0.00901,             0.00901
                   7,             0.05143,            0.018518,           0.0027361,             0.80486,             0.70941,             0.70776,             0.34931,            0.043163,            0.015359,           0.0020097,            0.008812,            0.008812,            0.008812
                   8,            0.050061,            0.017937,           0.0024423,             0.80008,             0.71347,             0.69362,             0.41737,            0.042536,            0.016516,           0.0034613,            0.008614,            0.008614,            0.008614
                   9,             0.04799,            0.017515,           0.0023126,             0.79087,              0.7237,             0.71464,             0.42351,            0.041127,            0.015331,           0.0020843,            0.008416,            0.008416,            0.008416
                  10,            0.048142,            0.018073,           0.0022501,             0.82929,             0.73964,              0.7406,             0.44471,            0.038439,            0.015012,           0.0017882,            0.008218,            0.008218,            0.008218
                  11,            0.047368,            0.017793,           0.0020596,             0.85322,             0.73632,             0.75207,              0.4639,             0.03736,            0.014502,           0.0016535,             0.00802,             0.00802,             0.00802
                  12,            0.046829,            0.017934,            0.002108,             0.81388,             0.72608,             0.72954,             0.45225,            0.039872,            0.015225,           0.0017093,            0.007822,            0.007822,            0.007822
                  13,            0.045642,            0.017606,           0.0018894,             0.82803,             0.74745,             0.74961,             0.46396,            0.037988,            0.014646,           0.0019686,            0.007624,            0.007624,            0.007624
                  14,            0.044915,            0.017586,           0.0018497,             0.84635,             0.74873,              0.7559,             0.46664,            0.037129,            0.014227,           0.0018606,            0.007426,            0.007426,            0.007426
                  15,            0.044685,            0.017218,           0.0017302,             0.84788,             0.74914,             0.76165,             0.47875,            0.037269,            0.014244,           0.0016964,            0.007228,            0.007228,            0.007228
                  16,            0.043848,             0.01684,           0.0017519,             0.83179,             0.75308,             0.74937,             0.47396,            0.036017,            0.014462,           0.0016387,             0.00703,             0.00703,             0.00703
                  17,             0.04268,            0.016707,           0.0013931,             0.85161,             0.75658,             0.75734,              0.5082,            0.034685,            0.014177,           0.0016043,            0.006832,            0.006832,            0.006832
                  18,             0.04236,            0.016654,           0.0017883,              0.8447,             0.75368,             0.75235,              0.4926,            0.035164,            0.014083,           0.0017471,            0.006634,            0.006634,            0.006634
                  19,            0.042473,            0.016946,            0.001577,             0.83192,             0.75356,             0.74628,             0.49544,            0.034492,            0.014128,           0.0018218,            0.006436,            0.006436,            0.006436
                  20,            0.042216,            0.016606,           0.0014626,             0.85533,             0.74247,             0.75889,             0.49048,            0.034928,            0.014105,           0.0017815,            0.006238,            0.006238,            0.006238
                  21,            0.041789,            0.016518,           0.0014852,             0.84379,             0.75779,             0.75827,             0.51029,            0.033614,            0.014252,           0.0016183,             0.00604,             0.00604,             0.00604
